taxon,feeding_mode,movement_type,movement_speed,movement_duration,activity_quotient,calcareous,calcite
Stauriida,1,1,1,1,1,1,1
Favositida,1,1,1,1,1,1,1
Auloporida,1,1,1,1,1,1,1
Scleractinia,1,1,1,1,1,1,0
Calcarea,1,1,1,1,1,1,0
Crinoidea,1,1,1,1,1,1,0
Blastoidea,1,1,1,1,1,1,0
Demospongea,1,1,1,1,1,1,0
Heteractinida,1,1,1,1,1,1,1
Hexactinellida,1,1,1,1,1,0,0
Hydrozoa,1,1,1,1,1,1,0
Scyphozoa,1,1,1,1,1,0,0
Stenolaemata,1,1,1,1,1,1,1
Stromatoporoidea,1,1,1,1,1,1,0
Disjectoporidae,1,1,1,1,1,1,0
Asteroidea,4,3,2,3,2.91295063,1,0
Ophiuroidea,4,3,2,3,2.91295063,1,0
Cephalopoda,4,6,4,5,4.680694639,1,0
Chileata,1,2,2,2,1.681792831,1,1
Craniata,1,2,2,2,1.681792831,1,1
Echinoidea,3,3,2,4,2.91295063,1,0
Edrioasteroidea,1,1,1,1,1,1,0
Gastropoda,3,3,2,5,3.080070288,1,0
Holothuroidea,3,3,2,3,2.710806011,0,0
Hyolitha,2,3,2,2,2.213363839,1,0
Hyolithomorpha,2,3,2,2,2.213363839,1,0
Lingulata,1,4,2,2,2,0,0
Malacostraca,4,5,4,5,4.472135955,0,0
Polyplacophora,3,3,2,3,2.710806011,1,0
Rhynchonellata,1,2,2,2,1.681792831,1,1
Rostroconchia,2,4,2,2,2.37841423,1,0
Scaphopoda,3,4,2,2,2.632148026,1,0
Strophomenata,1,2,2,2,1.681792831,1,1
Tergomya,3,3,2,3,2.710806011,1,0
Trilobita,4,5,4,5,4.472135955,1,1
Nuculanida,3,4,3,5,3.662841501,1,0
Nuculida,3,4,3,5,3.662841501,1,0
Myalinida,2,2,2,2,2,1,1
Pectinida,2,2,2,2,2,1,1
Mytilida,2,2,2,2,2,1,1
Arcida,2,2,2,2,2,1,0
Cyrtodontida,2,2,2,2,2,1,0
Pterioida,2,2,2,2,2,1,1
Megalodontida,2,2,2,2,2,1,0
Ostreida,2,2,2,2,2,1,1
Modiomorphida,2,2,2,2,2,1,0
Hippuritida,2,2,2,2,2,1,0
Trigoniida,2,4,2,3,2.632148026,1,0
Pholadomyida,2,4,2,3,2.632148026,1,0
Solemyida,2,4,2,3,2.632148026,1,0
Pholadida,2,4,2,3,2.632148026,1,0
Carditida,2,4,2,3,2.632148026,1,0
Cardiida,2,4,2,3,2.632148026,1,0
Grammysiidae,2,4,2,3,2.632148026,1,0
Sanguinolitidae,2,4,2,3,2.632148026,1,0
Unionida,2,4,2,3,2.632148026,1,0
Lucinida,2,4,2,3,2.632148026,1,0
Hiatellida,2,4,2,3,2.632148026,1,0
Pandorida,2,4,2,3,2.632148026,1,0
Thraciida,2,4,2,3,2.632148026,1,0
Poromyida,2,4,2,3,2.632148026,1,0
Solenida,2,4,2,3,2.632148026,1,0
Myoida,2,4,2,3,2.632148026,1,0
Metacopida,3,3,3,5,3.408658099,1,1
Podocopida,3,3,3,5,3.408658099,1,1
Platycopida,2,3,3,5,3.080070288,1,1
Palaeocopida,2,3,3,5,3.080070288,1,1
Myodocopida,3,3,3,5,3.408658099,1,1
Halocyprida,3,3,3,5,3.408658099,1,1
Veneroidei,2,4,2,3,2.632148026,1,0
Pernidae,2,4,2,3,2.632148026,1,0
